ID,Slug,Title_DE,Title_NL,Category,Subcategory,Makes,CostPrice,Main_Image,All_Images
2094,support-ticket-obd-hilfestellung,Support Ticket - OBD Hilfestellung,Accessoire · Support Ticket - OBD Hilfestellung,,,,17.85,https://autosleutel-specialist.nl/images/products/akey_2094_3475e789.jpg,https://autosleutel-specialist.nl/images/products/akey_2094_3475e789.jpg
2095,technischer-support-1-jahr,Technischer Support 1 Jahr,Accessoire · Technischer Support 1 Jahr,,,,595,https://autosleutel-specialist.nl/images/products/akey_2095_240a6daf.jpg,https://autosleutel-specialist.nl/images/products/akey_2095_240a6daf.jpg
2096,technischer-support-6-monate,Technischer Support 6 Monate,Accessoire · Technischer Support 6 Monate,,,,333.2,https://autosleutel-specialist.nl/images/products/akey_2096_a4fc0119.jpg,https://autosleutel-specialist.nl/images/products/akey_2096_a4fc0119.jpg
2097,aub101-board-geschikt-voor-audi-a6l-q7-3-knops-met-8e-chip-315mhz-434mhz-fsk,AUB101 Board geschikt voor Audi A6L Q7 3-knops met 8E chip 315mhz & 434mhz FSK,Afstandsbediening · Audi · AUB101 Board geschikt voor A6L Q7 3-knops,afstandsbedieningen,printplaat,Audi,34.51,https://autosleutel-specialist.nl/images/products/akey_2097_a73db865.jpg,https://autosleutel-specialist.nl/images/products/akey_2097_a73db865.jpg
2098,autosleutel-compatibel-met-audi-aur114x,Autosleutel compatibel met Audi - AUR114X,Smart key · Audi · Autosleutel compatibel met - AUR114X,smart-keys,smart key,Audi,59.38,https://autosleutel-specialist.nl/images/products/akey_2098_fa98e887.jpg,https://autosleutel-specialist.nl/images/products/akey_2098_fa98e887.jpg
2099,autosleutel-compatibel-met-audi-aur116iea,Autosleutel compatibel met Audi - AUR116IEA,Smart key · Audi · Autosleutel compatibel met - AUR116IEA,smart-keys,smart key,Audi,21.3,https://autosleutel-specialist.nl/images/products/akey_2099_551c6821.jpg,https://autosleutel-specialist.nl/images/products/akey_2099_551c6821.jpg
2100,autosleutel-compatibel-met-audi-aur117iea,Autosleutel compatibel met Audi - AUR117IEA,Smart key · Audi · Autosleutel compatibel met - AUR117IEA,smart-keys,smart key,Audi,29.75,https://autosleutel-specialist.nl/images/products/akey_2100_863424a6.jpg,https://autosleutel-specialist.nl/images/products/akey_2100_863424a6.jpg
2101,autosleutel-compatibel-met-audi-aur118,Autosleutel compatibel met Audi - AUR118,Smart key · Audi · Autosleutel compatibel met - AUR118,smart-keys,smart key,Audi,58.31,https://autosleutel-specialist.nl/images/products/akey_2101_0b4e3295.jpg,https://autosleutel-specialist.nl/images/products/akey_2101_0b4e3295.jpg
2102,autosleutel-compatibel-met-audi-aur119,Autosleutel compatibel met Audi - AUR119,Transponderchip · Audi · Autosleutel compatibel met - AUR119,transponders,transponder,Audi,23.68,https://autosleutel-specialist.nl/images/products/akey_2102_7327d580.jpg,https://autosleutel-specialist.nl/images/products/akey_2102_7327d580.jpg
2103,xsadj1en-autosleutel-compatibel-met-audi-smartkeylessgo,XSADJ1EN  Autosleutel compatibel met Audi Smartkeylessgo,Smart key · Audi · XSADJ1EN Autosleutel compatibel met Smartk,smart-keys,smart key,Audi,45.22,https://autosleutel-specialist.nl/images/products/akey_2103_b222744e.jpg,https://autosleutel-specialist.nl/images/products/akey_2103_b222744e.jpg
2104,xsma41en-3-knops-platine-geschikt-voor-vag,XSMA41EN 3-knops Platine geschikt voor VAG,"Afstandsbediening · Volkswagen, Audi, Porsche · XSMA41EN 3-knops Platine geschikt voor VAG",afstandsbedieningen,printplaat,"Volkswagen, Audi, Porsche",34.51,https://autosleutel-specialist.nl/images/products/akey_2104_32759e7e.jpg,https://autosleutel-specialist.nl/images/products/akey_2104_32759e7e.jpg
2105,xsma4yen-3-knops-platine-geschikt-voor-audi,XSMA4YEN 3-knops Platine geschikt voor Audi,"Afstandsbediening · Volkswagen, Audi, Porsche · XSMA4YEN 3-knops Platine geschikt voor",afstandsbedieningen,printplaat,"Volkswagen, Audi, Porsche",41.65,https://autosleutel-specialist.nl/images/products/akey_2105_3eb92e34.jpg,https://autosleutel-specialist.nl/images/products/akey_2105_3eb92e34.jpg
2106,xsma8yen-3-knops-platine-geschikt-voor-audi,XSMA8YEN 3-knops Platine geschikt voor Audi,Afstandsbediening · Audi · XSMA8YEN 3-knops Platine geschikt voor,afstandsbedieningen,printplaat,Audi,41.65,https://autosleutel-specialist.nl/images/products/akey_2106_917d1977.jpg,https://autosleutel-specialist.nl/images/products/akey_2106_917d1977.jpg
2107,xzadm1en-3-knops-fernbedienungsplatine-geschikt-voor-audi,XZADM1EN 3-knops Fernbedienungsplatine geschikt voor Audi,"Afstandsbediening · Audi, Mini · XZADM1EN 3-knops Fernbedienungsplatine ges",afstandsbedieningen,printplaat,"Audi, Mini",15.35,https://autosleutel-specialist.nl/images/products/akey_2107_26940239.jpg,https://autosleutel-specialist.nl/images/products/akey_2107_26940239.jpg
2108,autosleutel-compatibel-met-bmr105-868mhz,Autosleutel compatibel met - BMR105 - 868Mhz.,Sleutelbehuizing · BMW · Autosleutel compatibel met - BMR105 - 868M,behuizingen,noodsleutel,BMW,16.9,https://autosleutel-specialist.nl/images/products/akey_2108_18ee9ddb.jpg,https://autosleutel-specialist.nl/images/products/akey_2108_18ee9ddb.jpg
2109,autosleutel-compatibel-met-bmw-bmr102-433mhz,Autosleutel compatibel met BMW - BMR102 - 433Mhz.,Accessoire · BMW · Autosleutel compatibel met - BMR102 - 433M,,,BMW,11.84,https://autosleutel-specialist.nl/images/products/akey_2109_a170c9a2.jpg,https://autosleutel-specialist.nl/images/products/akey_2109_a170c9a2.jpg
2110,autosleutel-compatibel-met-bmw-bmr104-868mhz,Autosleutel compatibel met BMW - BMR104 - 868Mhz.,Transponderchip · BMW · Autosleutel compatibel met - BMR104 - 868M,transponders,transponder,BMW,15.35,https://autosleutel-specialist.nl/images/products/akey_2110_46171850.jpg,https://autosleutel-specialist.nl/images/products/akey_2110_46171850.jpg
2111,autosleutel-compatibel-met-bmw-bmr106-315mhz,Autosleutel compatibel met BMW - BMR106 - 315Mhz.,Transponderchip · BMW · Autosleutel compatibel met - BMR106 - 315M,transponders,transponder,BMW,15.35,https://autosleutel-specialist.nl/images/products/akey_2111_225ebd0a.jpg,https://autosleutel-specialist.nl/images/products/akey_2111_225ebd0a.jpg
